clinic,address,phone,fc
Bayshore FM,"11452 Space Center Blvd Houston, Tx 77059",713-486-6200,Hermecia Clark
Bayshore MS,"11476 Space Center Blvd Ste 100, Houston Tx, 77059",713-486-6325,Hermecia Clark
Beaumont,2610 Stagg Drive Beaumont Tx 77701,409-730-4700,Amanda Gonzalez
Bellaire ,"6700 West Loop South Ste 520 Bellaire, Tx 77401",713-572-8122,Ana Torres
Cinco Ranch,23923 Cinco Ranch Blvd Katy Tx 77494,713-486-5300,Amanda Gonzalez
Dashwood ,"5420 Dashwood Ste 301 Houston, Tx 77081",713-486-2900,Ana Torres
Greenspoint,"550 Greens Parkway Ste 150 Houston, Tx 77067",713-486-5600,Hermecia Clark
Healthy Aging,"6700 West Loop South Ste 130 Bellaire Tx, 77401",713-486-5150,
Heights,"925 N. Shepard Houston, Tx 77008",713-486-7200,Kizzie Garrett
Jensen,"2620 E. Crosstimbers St. Ste 100 Houston, Tx 77093",713-486-8550,Nikita Jones
Pedi Cinco,"10450 Spring Green Blvd. Ste B Katy, Tx 77494",713-486-5870,Amanda Gonzalez
Rosenberg,"5115 Avenue H  Ste 701 Rosenberg, Tx 77471",713-486-1950,Brenda Ramagnoli
Sienna,"8810 Highway 6 Ste 100 Missouri City, Tx 77459",713-486-1200,Suzette Garcia
Sickle Cell,"1200 Binz Ste 850 Houston, Tx 77004",713-486-5660,Nikita Jones
Southwest ,"10623 Bellaire Ste C280 Houston, Tx 77088",713-486-5900,Ana Torres
Victory,"7364 Antoine Drive Houston, TX 77088",713-486-7350,Ana Torres
